name,longitude,latitude,address,description
同义组,117.8185,30.95123,安徽省铜陵市同义组,
庙冲组,118.0071,30.98513,安徽省铜陵市庙冲组,
天门换乘中心,115.9689,39.73264,安徽省铜陵市天门换乘中心,
天门镇,117.8464,30.83831,安徽省铜陵市天门镇,
董店岔路口,117.8464,30.83496,安徽省铜陵市董店岔路口,
江村,116.1416,39.67506,安徽省铜陵市江村,
竹园新村,117.9826,30.94669,安徽省铜陵市竹园新村,
新塘,118.0096,30.96599,安徽省铜陵市新塘,
上峰水泥,117.9695,30.95258,安徽省铜陵市上峰水泥,
牌坊头,117.7957,30.81588,安徽省铜陵市牌坊头,
板桥,117.9293,30.89401,安徽省铜陵市板桥,
新建村,117.7921,30.83644,安徽省铜陵市新建村,
顺兴桥,117.8185,30.95123,安徽省铜陵市顺兴桥,
灵通公司,116.4134,39.91092,安徽省铜陵市灵通公司,
光明村,117.9948,31.04096,安徽省铜陵市光明村,
临时站,116.6209,40.03402,安徽省铜陵市临时站,
新民组,122.8425,41.99151,安徽省铜陵市新民组,
福利组,117.8185,30.95123,安徽省铜陵市福利组,
祝村组,117.8245,30.86293,安徽省铜陵市祝村组,
郎村组,117.8286,30.88397,安徽省铜陵市郎村组,
金华小学,117.8355,30.87493,安徽省铜陵市金华小学,
郎冲畈,117.9044,30.85236,安徽省铜陵市郎冲畈,
大倪村,117.8228,30.89644,安徽省铜陵市大倪村,
小倪村,117.8154,30.90255,安徽省铜陵市小倪村,
铜山村,117.8169,30.91747,安徽省铜陵市铜山村,
隆门路换乘中心,115.9689,39.73264,安徽省铜陵市隆门路换乘中心,
民悦大兴城,117.817,30.92124,安徽省铜陵市民悦大兴城,
宝山路首末站,117.8209,30.91811,安徽省铜陵市宝山路首末站,
碎石岭,117.8185,30.95123,安徽省铜陵市碎石岭,
金隆铜业,117.7826,30.93423,安徽省铜陵市金隆铜业,
金山路小学,117.2297,30.72314,安徽省铜陵市金山路小学,
一冶,117.7875,30.93084,安徽省铜陵市一冶,
跃进西村,117.7911,30.93167,安徽省铜陵市跃进西村,
铜化新村,117.798,30.9371,安徽省铜陵市铜化新村,
锦湖园小区,117.8059,30.93806,安徽省铜陵市锦湖园小区,
天桥市场,117.8097,30.94,安徽省铜陵市天桥市场,
人民电影院,117.8188,30.93543,安徽省铜陵市人民电影院,
合百商厦,117.8238,30.93145,安徽省铜陵市合百商厦,
